title,subtitle,author,duration,price,release_date,language,rating,narrators
Unseen Academicals,A Discworld Novel,Terry Pratchett,15 hrs and 10 mins,28.79,09-05-23,English,4.5 out of 5 stars,"Colin Morgan, Bill Nighy, Peter Serafinowicz"
The Colour of Magic,"Discworld, Book 1",Terry Pratchett,7 hrs and 58 mins,23.24,07-07-22,English,4.5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
The Light Fantastic,"Discworld, Book 2",Terry Pratchett,7 hrs and 42 mins,23.24,07-07-22,English,5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
The Last Continent,"Discworld, Book 22",Terry Pratchett,10 hrs and 56 mins,23.24,07-07-22,English,5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
Sourcery,"Discworld, Book 5",Terry Pratchett,9 hrs,23.24,07-07-22,English,5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
The Worldship Humility,,RR Haywood,13 hrs and 58 mins,27.27,01-31-19,English,4.5 out of 5 stars,Colin Morgan
Interesting Times,"Discworld, Book 17",Terry Pratchett,11 hrs and 12 mins,23.24,07-07-22,English,5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
The Elfor One,"The Code Series, Book 3",RR Haywood,16 hrs and 47 mins,32.71,09-29-22,English,5 out of 5 stars,Colin Morgan
The Vault,Audible Original,Mark Dawson,5 hrs and 4 mins,16.35,10-31-19,English,4.5 out of 5 stars,"Atilla Akinci, Laila Alj Philip Arditti, Kieran Brown, Ben Cartwright, Stephen Critchlow, Vera Filatova, Kobna Holdbrook-Smith, Gerran Howell, David Menkin, Colin Morgan, Harry Myers, Erich Redman, Mac Keith Roach, Lizzie-Aaryn Stanton, David Thorpe"
This Thing of Darkness,,Harry Thompson,30 hrs and 22 mins,21.78,11-04-21,English,5 out of 5 stars,Colin Morgan
Eric,"Discworld, Book 9",Terry Pratchett,3 hrs and 58 mins,23.24,07-07-22,English,4.5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
The Elfor Drop,"The Code Series, Book 2",RR Haywood,19 hrs and 27 mins,32.71,12-29-20,English,4.5 out of 5 stars,Colin Morgan
The Lions' Torment,,Blanche d'Alpuget,12 hrs and 39 mins,19.49,11-23-20,English,4.5 out of 5 stars,Colin Morgan
Colin Morgan,Audible Sessions: FREE Exclusive Interview,Robin Morgan-Bentley,13 mins,,01-31-19,English,5 out of 5 stars,Colin Morgan
The Cubs Roar,,Blanche d'Alpuget,10 hrs and 2 mins,19.49,03-01-21,English,4.5 out of 5 stars,Colin Morgan
The Young Lion,,Blanche d'Alpuget,14 hrs and 52 mins,19.49,12-15-19,English,4.5 out of 5 stars,Colin Morgan
Unseen Academicals,"Discworld Book, 37",Terry Pratchett,15 hrs and 9 mins,23.24,07-07-22,English,5 out of 5 stars,"Colin Morgan, Peter Serafinowicz, Bill Nighy"
The Lion Rampant,"Birth of the Plantagenets, Book 2",Blanche d'Alpuget,17 hrs and 14 mins,19.49,03-01-20,English,4.5 out of 5 stars,Colin Morgan
Norse Mythology,A BBC Radio 4 Full-Cast Dramatisation,Neil Gaiman,1 hr and 27 mins,15.21,02-21-19,English,4.5 out of 5 stars,"full cast, Diana Rigg, Derek Jacobi, Natalie Dormer, Colin Morgan"
The Lioness Wakes,,Blanche d'Alpuget,6 hrs and 51 mins,19.49,03-01-21,English,4.5 out of 5 stars,Colin Morgan
Slaine: The Horned God,The Classic 2000 AD Graphic Novel in Full-Cast Audio,Pat Mills,2 hrs and 47 mins,18.88,03-04-21,English,4.5 out of 5 stars,"Gerry O'Brien, Colin Morgan, Ayoola Smart, Stephen Hogan, Fiona Glascott, Gemma Whelan"
Designing Terry Pratchett’s Discworld,,Paul Kidby,12 hrs,25.47,11-12-24,English,,"Roy McMillan, Colin Morgan"
